airport_ident,length_ft,width_ft,surface,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
EDDF,13123,148,CON,07R,50.0275001525879,8.53417015075684,328,69.6,,25L,50.0401000976563,8.58652973175049,362,249.6,
EDDG,7119,148,ASP,7,52.1315002441406,7.67006015777588,156,71,,25,52.1379013061523,7.70001983642578,159,251,656
EDDH,10663,150,ASP,5,53.6183013916016,9.96370983123779,32,50.3,978,23,53.6371002197266,10.0017995834351,43,230.3,512
EDDH,12028,150,ASP,15,53.6543998718262,9.97521018981934,53,152.8,,33,53.6250991821289,10.0004997253418,35,332.8,1464
EDDK,8067,148,CON,6,50.8600997924805,7.12377977371216,231,64,,24,50.8697013854981,7.15527009963989,272,244,
EDDK,12516,197,ASP,14L,50.880500793457,7.12907981872559,230,137.5,,32R,50.8552017211914,7.16568994522095,302,317.5,
EDDL,8858,148,CON,05L,51.2836990356445,6.74872016906738,116,53,984,23R,51.2984008789063,6.77965021133423,124,233,984
EDDL,9842,148,CON,05R,51.279598236084,6.75198984146118,121,53,984,23L,51.2958984375,6.78622007369995,138,233,984
EDDM,13123,197,CON,08L,48.3628005981445,11.7676000595093,1467,83.4,,26R,48.3669013977051,11.8212003707886,1449,263.4,
EDDM,13123,197,CON,08R,48.3406982421875,11.7510004043579,1486,83.4,,26L,48.3447990417481,11.8045997619629,1470,263.4,
EDDN,8858,148,ASP,10,49.5004997253418,11.0592002868652,1022,99,,28,49.4968986511231,11.0959997177124,1046,279,
EDDP,11811,148,CON,08L,51.4311981201172,12.2158002853394,418,85.7,,26R,51.4336013793945,12.2673997879028,448,265.7,
EDDP,11811,198,CON,08R,51.4116096496582,12.2046480178833,,86,,26L,51.4140205383301,12.2562475204468,,266,
EDDS,10974,148,CON,7,48.6856994628906,9.20013046264648,1267,72,984,25,48.6940002441406,9.24380016326904,1181,252,
EDDV,7677,148,CON,09R,52.4550018310547,9.67677021026611,172,93,,27L,52.4539985656738,9.71115016937256,179,273,
EDDV,10499,148,CON,09L,52.468399,9.64829,167,93,984,27R,52.466801,9.70414,169,273,984
EDFH,12467,148,ASP,3,49.9314002990723,7.24688005447388,1645,32,3461,21,49.9602012634277,7.27529001235962,1588,212,984
EDHI,8629,148,PEM,5,53.5285987854004,9.82149028778076,16,52,341,23,53.5433006286621,9.85266017913818,15,232,2474
EDJA,8629,148,ASP,6,47.9832992553711,10.2256002426147,2077,59,953,24,47.9943008422852,10.2532997131348,2077,239,953
EDLP,7152,148,ASP,6,51.608699798584,8.60317993164063,699,57,,24,51.6194000244141,8.62959003448486,674,237,
EDLV,8005,148,PEM,9,51.6027984619141,6.12453985214233,95,92,,27,51.6021003723145,6.15972995758057,105,272,
EDMO,7500,147,ASP,4,48.0740013122559,11.273099899292,1947,42,,22,48.0891990661621,11.2938003540039,1890,222,
EDNY,7729,148,ASP,6,47.6660003662109,9.49789047241211,1334,60,885,24,47.6766014099121,9.52509021759033,1367,240,675
EDOP,9843,180,CON,6,53.4212989807129,11.7629995346069,147,64,,24,53.4327011108398,11.8038997650146,166,244,
EDRB,10026,148,ASP,5,49.9370994567871,6.5467700958252,1223,55,984,23,49.9528999328613,6.58160018920898,1223,235,820
EDRZ,9677,148,CON,3,49.1980018615723,7.39053010940552,1126,30,902,21,49.2210006713867,7.41077995300293,1115,210,902
EDSB,9787,148,ASP,3,48.7678985595703,8.06976127624512,405,32,830,21,48.7907981872559,8.0912504196167,405,212,830
EDTL,9842,148,ASP,3,48.3573989868164,7.8181300163269,511,28,,21,48.3810997009277,7.83731985092163,500,208,
EDVE,7546,148,ASP,8,52.3184013366699,10.5420999526978,273,85,,26,52.3202972412109,10.5756807327271,288,265,
EDVK,8202,147,ASPH,9,51.4217987060547,9.37423038482666,861,93,,27,51.4197998046875,9.41007995605469,803,273,
EETN,11417,148,ASP,8,59.413338,24.805908,129,90,820,26,59.413174,24.867208,131,270,
EFHA,8533,197,ASP,8,61.8553009033203,24.761999130249,478,86,,26,61.8568000793457,24.81130027771,473,266,
EFHK,9518,197,ASP,15,60.3302993774414,24.9645004272461,162,154.1,,33,60.3070983886719,24.9883003234863,146,334.1,
EFHK,10039,197,ASP,04L,60.3129005432129,24.9039001464844,133,48,,22R,60.3315010070801,24.9447002410889,178,228,196
EFHK,11286,197,ASP,04R,60.3097991943359,24.9332008361816,150,48,787,22L,60.3306999206543,24.9790992736816,147,228,
EFIV,8199,148,ASP,4,68.5996017456055,27.3829002380371,480,47,,22,68.6148986816406,27.4277992248535,463,227,
